Name,Date,Season,Phase,Position,Team,Birthyear,Weight,Size,10m Off,20m Off,30m Off,5_10_5,10m Off_index,20m Off_index,30m Off_index,5_10_5_index,Speed_index,10m Off_index_distance,20m Off_index_distance,30m Off_index_distance,5_10_5_index_distance,speed_index_distance,CMJ W/kg,SJ W/kg,SL CMJ L,SL CMJ R,CMJ W/kg_index,SJ W/kg_index,SL CMJ L_index,SL CMJ R_index,power_index,CMJ W/kg_index_distance,SJ W/kg_index_distance,SL CMJ L_index_distance,SL CMJ R_index_distance,power_index_distance,WG Ppeak,WG Ppeak W/kg,3min MMP,3min W/kg,WG Pavg W/kg,WG Ppeak_index,WG Ppeak W/kg_index,3min MMP_index,3min W/kg_index,WG Pavg W/kg_index,Endurance_index,WG Ppeak_index_distance,WG Ppeak W/kg_index_distance,3min MMP_index_distance,3min W/kg_index_distance,WG Pavg W/kg_index_distance,endurance_index_distance,IMTP,IMTP_index,IMTP_index_distance,AD Mx F 60 L,AD Mx F 60 R,AB Mx F 60 L,AB Mx F 60 R,AD Mx F 60 L_index,AD Mx F 60 R_index,AB Mx F 60 L_index,AB Mx F 60 R_index,Hip_index,AD Mx F 60 L_index_distance,AD Mx F 60 R_index_distance,AB Mx F 60 L_index_distance,AB Mx F 60 R_index_distance,hip_index_distance,SH Int L,SH Int R,SH Ext L,SH Ext R,SH Int L_index,SH Int R_index,SH Ext L_index,SH Ext R_index,Shoulder_index,SH Int L_index_distance,SH Int R_index_distance,SH Ext L_index_distance,SH Ext R_index_distance,shoulder_index_distance,Improvement_Recommendation,Best_Skill,Improvement_Recommendation_Category,Best_Skill_Category,assignedLine
U AZ,2024-08-07,24/25,Pre-Season,C,NL,1992,99.7,192.0,1.87,,4.28,4.68,43.0,,58.0,45.0,49.0,-9.0,0.0,-4.0,-16.0,-8.0,52.3,53.1,31.0,32.6,28.0,26.0,17.0,22.0,23.0,-12.0,-11.0,-19.0,-11.0,-12.0,1570.0,,458.0,4.63,10.16,63.0,,67.0,46.0,53.0,57.0,13.200000000000005,0.0,24.0,-4.0,7.0,7.0,2906.0,31.0,-4.0,552.0,584.0,481.0,526.0,70.0,76.0,42.0,57.0,61.0,9.0,14.0,-2.0,11.5,7.5,262.0,189.0,196.0,172.0,59.0,43.0,55.0,48.0,51.0,31.0,1.0,6.0,-9.0,7.0,SL CMJ L,SH Int L,power,hip,
V BA,2023-07-31,23/24,Pre-Season,G,NL,1999,90.4,182.0,1.9,3.17,,4.78,35.0,47.0,,31.0,38.0,-17.0,-17.0,0.0,-30.0,-19.0,51.8,53.2,,,26.0,27.0,,,26.0,-14.0,-10.0,0.0,0.0,-9.0,987.0,10.92,366.0,4.02,,8.0,8.0,29.0,21.0,,16.0,-37.2,-52.0,-14.0,-29.0,0.0,-30.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,WG Ppeak W/kg,30m Off,endurance,IMTP,
V BA,2024-08-07,24/25,Pre-Season,G,NL,1999,87.7,182.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1476.0,,446.0,5.19,9.65,54.0,,62.0,70.0,42.0,57.0,4.200000000000003,0.0,19.0,20.0,-4.0,7.0,,,0.0,360.0,389.0,437.0,485.0,27.0,34.0,30.0,46.0,34.0,-34.0,-28.0,-14.0,0.5,-19.5,259.0,226.0,222.0,277.0,58.0,58.0,68.0,92.0,69.0,30.0,16.0,19.0,35.0,25.0,AD Mx F 60 L,SH Ext R,hip,shoulder,
W BB,2023-07-31,23/24,Pre-Season,W,NL,2000,88.4,181.0,1.88,3.18,,4.61,40.0,45.0,,54.0,46.0,-12.0,-19.0,0.0,-7.0,-11.0,57.1,59.9,,,42.0,45.0,,,44.0,0.0,8.0,0.0,0.0,2.0,1366.0,15.4524886877828,,,,44.0,61.0,,,,52.0,-1.2000000000000028,1.0,0.0,0.0,0.0,2.0,,,0.0,427.0,454.0,414.0,404.0,42.0,48.0,24.0,25.0,35.0,-19.0,-14.0,-20.0,-20.5,-18.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,AB Mx F 60 R,SJ W/kg,hip,power,
W BB,2024-08-07,24/25,Pre-Season,W,NL,2000,88.8,181.0,1.84,,4.44,4.68,50.0,,40.0,45.0,45.0,-2.0,0.0,-22.0,-16.0,-12.0,57.8,61.9,34.4,29.9,44.0,51.0,33.0,8.0,34.0,0.0,14.0,-3.0,-25.0,-1.0,1432.0,,427.0,4.84,8.79,50.0,,54.0,55.0,22.0,45.0,0.2000000000000028,0.0,11.0,5.0,-24.0,-1.0,2977.0,35.0,0.0,431.0,455.0,404.0,429.0,43.0,48.0,21.0,32.0,36.0,-18.0,-14.0,-23.0,-13.5,-17.5,158.0,161.0,169.0,191.0,16.0,32.0,40.0,56.0,36.0,-12.0,-10.0,-9.0,-1.0,-8.0,SL CMJ R,SJ W/kg,hip,IMTP,
X BC,2023-04-24,23/24,Pre-Season,W,NL,1997,73.5,174.5,1.81,3.03,,4.44,57.0,77.0,,77.0,70.0,0.4000000000000057,13.0,0.0,16.0,9.0,60.3,,,,52.0,,,,52.0,7.200000000000003,0.0,0.0,0.0,10.0,,,318.0,4.33,,,,9.0,34.0,,22.0,0.0,0.0,-34.0,-16.0,0.0,-24.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3min MMP,5_10_5,endurance,power,
X BC,2023-07-31,23/24,Pre-Season,W,NL,1997,75.5,174.5,1.75,2.99,,4.4,72.0,85.0,,82.0,80.0,15.400000000000006,21.0,0.0,21.0,19.0,61.3,63.8,,,55.0,56.0,,,56.0,10.200000000000005,19.0,0.0,0.0,14.0,1350.0,17.8807947019868,401.0,5.31,,42.0,89.0,43.0,75.0,,62.0,-3.200000000000003,29.0,0.0,25.0,0.0,12.0,,,0.0,471.0,464.0,449.25,460.25,52.0,50.0,34.0,40.0,44.0,-9.0,-12.0,-10.0,-5.5,-9.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,AD Mx F 60 R,WG Ppeak W/kg,hip,speed,
X BC,2024-04-22,24/25,Pre-Season,W,NL,1997,80.5,174.5,1.8,,4.13,4.51,60.0,,75.0,67.0,67.0,3.4000000000000057,0.0,13.0,6.0,6.0,63.5,58.4,37.7,34.7,61.0,41.0,48.0,32.0,46.0,16.200000000000003,4.0,12.0,-1.0,4.0,1434.0,,401.0,5.01,10.14,50.0,,43.0,62.0,53.0,52.0,0.2000000000000028,0.0,0.0,12.0,7.0,2.0,2470.0,8.0,-27.0,526.0,506.0,527.0,514.0,64.0,59.0,55.0,53.0,58.0,3.0,-3.0,11.0,7.5,4.5,187.0,185.0,205.0,204.0,28.0,42.0,59.0,61.0,48.0,0.0,0.0,10.0,4.0,4.0,IMTP,CMJ W/kg,IMTP,speed,
X BC,2024-06-24,24/25,Pre-Season,W,NL,1997,79.0,174.5,1.74,,4.14,4.44,75.0,,74.0,77.0,75.0,18.40000000000001,0.0,12.0,16.0,14.0,61.0,59.3,35.6,33.9,54.0,44.0,38.0,28.0,41.0,9.200000000000005,7.0,2.0,-5.0,0.0,1501.0,,,,10.64,56.0,,,,64.0,60.0,6.200000000000003,0.0,0.0,0.0,18.0,10.0,2658.0,18.0,-17.0,522.0,514.0,488.0,493.0,63.0,61.0,44.0,48.0,54.0,2.0,-1.0,0.0,2.5,0.5,210.0,202.0,234.0,206.0,38.0,48.0,75.0,62.0,56.0,10.0,6.0,26.0,5.0,12.0,IMTP,SH Ext L,IMTP,speed,
X BC,2024-08-07,24/25,Pre-Season,W,NL,1997,77.7,174.5,1.82,,4.13,4.41,55.0,,75.0,81.0,70.0,0.0,0.0,13.0,20.0,9.0,62.6,59.5,36.0,33.3,59.0,44.0,40.0,25.0,42.0,14.200000000000005,7.0,4.0,-8.0,0.0,1579.0,,402.0,5.17,10.87,64.0,,44.0,69.0,70.0,62.0,14.200000000000005,0.0,1.0,19.0,24.0,12.0,2517.0,11.0,-24.0,515.0,502.0,500.0,510.0,62.0,58.0,48.0,52.0,55.0,1.0,-4.0,4.0,6.5,1.5,191.0,192.0,191.0,191.0,30.0,44.0,52.0,56.0,46.0,2.0,2.0,3.0,-1.0,2.0,IMTP,WG Pavg W/kg,IMTP,endurance,
